Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,38,0,14.2,1.8,4.6,.385,1.2,3.3,.368,0.6,1.3,.429,.517,0.8,0.9,.853,0.3,0.9,1.2,0.5,0.4,0.1,0.6,1.5,5.5
2,Quincy Acy\acyqu01,PF,26,TOT,13,0,9.8,1.6,3.4,.477,0.7,1.5,.450,0.9,1.8,.500,.580,1.0,1.2,.813,0.7,1.5,2.2,0.2,0.2,0.2,0.4,1.4,4.9
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,7,0,11.3,2.3,3.9,.593,1.1,1.9,.615,1.1,2.0,.571,.741,1.6,1.9,.846,1.0,1.9,2.9,0.3,0.4,0.4,0.4,1.3,7.3
3,Steven Adams\adamsst01,C,23,OKC,43,43,30.1,4.9,8.3,.591,0.0,0.0,.000,4.9,8.3,.592,.591,2.1,3.0,.711,2.9,4.6,7.5,1.1,1.2,1.1,1.9,2.4,12.0
4,Arron Afflalo\afflaar01,SG,31,SAC,37,22,23.9,2.7,6.3,.423,0.9,2.3,.381,1.8,4.1,.447,.491,1.2,1.4,.920,0.2,1.7,1.9,1.1,0.4,0.1,0.6,1.6,7.5
5,Alexis Ajinca\ajincal01,C,28,NOP,21,10,14.1,1.9,4.1,.465,0.0,0.1,.000,1.9,4.0,.482,.465,0.5,0.7,.714,1.0,3.3,4.3,0.3,0.4,0.7,0.8,1.7,4.3
6,Cole Aldrich\aldrico01,C,28,MIN,39,0,10.6,0.9,1.7,.523,0.0,0.0,,0.9,1.7,.523,.523,0.4,0.5,.667,1.1,2.2,3.3,0.6,0.5,0.5,0.3,1.6,2.1
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,40,40,32.3,7.0,13.9,.504,0.4,0.8,.484,6.6,13.1,.505,.517,3.2,3.8,.824,2.3,4.8,7.1,2.3,0.6,1.1,1.4,2.3,17.5
8,Lavoy Allen\allenla01,PF,27,IND,32,0,11.6,0.6,1.8,.322,0.0,0.0,.000,0.6,1.8,.328,.322,0.1,0.2,.667,1.0,1.3,2.3,0.9,0.3,0.3,0.3,1.0,1.3
9,Tony Allen\allento01,SG,35,MEM,39,37,28.0,4.0,8.5,.473,0.2,0.6,.250,3.9,7.9,.490,.482,1.4,2.2,.647,2.5,3.1,5.6,1.3,1.8,0.4,1.6,2.7,9.6
10,Al-Farouq Aminu\aminual01,SF,26,POR,28,23,28.1,2.6,7.4,.356,0.9,3.3,.261,1.8,4.1,.431,.413,1.3,1.8,.700,1.2,5.9,7.1,2.1,1.0,0.6,1.4,1.8,7.4
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,17,0,11.4,1.1,3.2,.345,0.5,1.6,.321,0.6,1.6,.370,.427,0.4,0.6,.700,0.2,0.8,0.9,0.5,0.1,0.0,0.3,1.3,3.2
13,Justin Anderson\anderju01,SF,23,DAL,40,2,15.1,2.3,5.8,.398,0.8,2.5,.316,1.5,3.3,.459,.465,1.5,1.8,.795,0.9,2.3,3.2,0.6,0.6,0.4,0.9,1.4,6.8
14,Kyle Anderson\anderky01,SG,23,SAS,39,10,13.1,1.1,2.3,.461,0.2,0.5,.421,0.8,1.8,.471,.506,0.5,0.6,.818,0.4,2.1,2.5,0.9,0.7,0.4,0.4,0.8,2.8
15,Ryan Anderson\anderry01,PF,28,HOU,45,45,30.2,4.6,10.8,.425,2.7,6.7,.403,1.9,4.1,.462,.550,1.8,2.0,.899,1.6,3.4,5.0,0.9,0.5,0.2,0.9,1.9,13.7
16,Giannis Antetokounmpo\antetgi01,SG,22,MIL,43,43,34.9,8.6,16.2,.533,0.7,2.5,.299,7.9,13.7,.576,.556,5.7,7.2,.787,2.0,6.8,8.8,5.4,1.8,2.0,3.0,3.4,23.7
17,Carmelo Anthony\anthoca01,SF,32,NYK,45,45,33.4,8.0,18.4,.435,2.1,5.6,.371,5.9,12.8,.463,.491,4.5,5.4,.838,0.8,5.2,6.0,3.1,0.9,0.4,1.8,2.7,22.6
18,Joel Anthony\anthojo01,C,34,SAS,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Trevor Ariza\arizatr01,SF,31,HOU,48,48,34.6,4.4,10.3,.428,2.6,7.2,.369,1.8,3.1,.564,.557,0.9,1.3,.698,0.7,4.7,5.4,2.2,1.9,0.3,0.9,1.7,12.4
20,Darrell Arthur\arthuda01,PF,28,DEN,19,5,15.1,2.4,4.9,.484,1.3,2.6,.480,1.1,2.3,.488,.613,0.2,0.2,1.000,0.4,1.7,2.2,1.1,0.3,0.5,1.1,2.1,6.2
21,Omer Asik\asikom01,C,30,NOP,29,19,16.3,1.1,2.2,.477,0.0,0.0,,1.1,2.2,.477,.477,0.8,1.3,.590,1.7,3.9,5.6,0.5,0.2,0.3,0.4,1.6,2.9
22,D.J. Augustin\augusdj01,PG,29,ORL,46,20,20.3,2.8,7.2,.394,1.4,4.0,.363,1.4,3.2,.432,.494,1.5,1.8,.864,0.1,1.3,1.4,3.2,0.4,0.0,1.1,1.4,8.6
